name	type	H	W	C	F	K	P	S	P_C	P_F
conv0	LayerType.STANDARD	112	112	3	32	3	1	2	2	8
conv1	LayerType.DEPTHWISE_SEPARABLE	112	112	32	64	3	1	1	8	24
conv2	LayerType.DEPTHWISE_SEPARABLE	56	56	64	128	3	1	2	24	12
conv3	LayerType.DEPTHWISE_SEPARABLE	56	56	128	128	3	1	1	12	12
conv4	LayerType.DEPTHWISE_SEPARABLE	28	28	128	256	3	1	2	12	24
conv5	LayerType.DEPTHWISE_SEPARABLE	28	28	256	256	3	1	1	24	16
conv6	LayerType.DEPTHWISE_SEPARABLE	14	14	256	512	3	1	2	16	24
conv7	LayerType.DEPTHWISE_SEPARABLE	14	14	512	512	3	1	1	24	8
conv8	LayerType.DEPTHWISE_SEPARABLE	14	14	512	512	3	1	1	8	24
conv9	LayerType.DEPTHWISE_SEPARABLE	14	14	512	512	3	1	1	24	8
conv10	LayerType.DEPTHWISE_SEPARABLE	14	14	512	512	3	1	1	8	24
conv11	LayerType.DEPTHWISE_SEPARABLE	14	14	512	512	3	1	1	24	8
conv12	LayerType.DEPTHWISE_SEPARABLE	7	7	512	1024	3	1	2	8	48
conv13	LayerType.DEPTHWISE_SEPARABLE	7	7	1024	1024	3	1	1	48	4
