name	type	H	W	C	F	K	P	S	P_C	P_F
conv0	LayerType.STANDARD	112	112	3	32	3	1	2	1	4
conv2	LayerType.DEPTHWISE_SEPARABLE	112	112	32	16	3	1	1	4	2
conv5	LayerType.STANDARD	112	112	16	96	1	0	1	2	8
conv7	LayerType.DEPTHWISE_SEPARABLE	56	56	96	24	3	1	2	8	4
conv10	LayerType.STANDARD	56	56	24	144	1	0	1	4	4
conv12	LayerType.DEPTHWISE_SEPARABLE	56	56	144	24	3	1	1	4	4
conv16	LayerType.STANDARD	56	56	24	144	1	0	1	4	4
conv18	LayerType.DEPTHWISE_SEPARABLE	28	28	144	32	3	1	2	4	4
conv21	LayerType.STANDARD	28	28	32	192	1	0	1	4	2
conv23	LayerType.DEPTHWISE_SEPARABLE	28	28	192	32	3	1	1	2	4
conv27	LayerType.STANDARD	28	28	32	192	1	0	1	4	2
conv29	LayerType.DEPTHWISE_SEPARABLE	28	28	192	32	3	1	1	2	4
conv33	LayerType.STANDARD	28	28	32	192	1	0	1	4	4
conv35	LayerType.DEPTHWISE_SEPARABLE	14	14	192	64	3	1	2	4	4
conv38	LayerType.STANDARD	14	14	64	384	1	0	1	4	4
conv40	LayerType.DEPTHWISE_SEPARABLE	14	14	384	64	3	1	1	4	4
conv44	LayerType.STANDARD	14	14	64	384	1	0	1	4	2
conv46	LayerType.DEPTHWISE_SEPARABLE	14	14	384	64	3	1	1	2	4
conv50	LayerType.STANDARD	14	14	64	384	1	0	1	4	2
conv52	LayerType.DEPTHWISE_SEPARABLE	14	14	384	64	3	1	1	2	4
conv56	LayerType.STANDARD	14	14	64	384	1	0	1	4	2
conv58	LayerType.DEPTHWISE_SEPARABLE	14	14	384	96	3	1	1	2	4
conv61	LayerType.STANDARD	14	14	96	576	1	0	1	4	4
conv63	LayerType.DEPTHWISE_SEPARABLE	14	14	576	96	3	1	1	4	4
conv67	LayerType.STANDARD	14	14	96	576	1	0	1	4	4
conv69	LayerType.DEPTHWISE_SEPARABLE	14	14	576	96	3	1	1	4	4
conv73	LayerType.STANDARD	14	14	96	576	1	0	1	4	4
conv75	LayerType.DEPTHWISE_SEPARABLE	7	7	576	160	3	1	2	4	8
conv78	LayerType.STANDARD	7	7	160	960	1	0	1	8	4
conv80	LayerType.DEPTHWISE_SEPARABLE	7	7	960	160	3	1	1	4	8
conv84	LayerType.STANDARD	7	7	160	960	1	0	1	8	4
conv86	LayerType.DEPTHWISE_SEPARABLE	7	7	960	160	3	1	1	4	8
conv90	LayerType.STANDARD	7	7	160	960	1	0	1	8	4
conv92	LayerType.DEPTHWISE_SEPARABLE	7	7	960	320	3	1	1	4	8
conv95	LayerType.STANDARD	7	7	320	1280	1	0	1	8	2
