name	type	H	W	C	F	K	P	S	P_C	P_F
squeezenet0conv0fwd	LayerType.STANDARD	111	111	3	64	3	0	2	1	16
squeezenet0pool0fwd	LayerType.POOLING	55	55	64	64	3	0	2	16	16
squeezenet0conv1fwd	LayerType.STANDARD	55	55	64	16	1	0	1	16	2
squeezenet0conv2fwd	LayerType.STANDARD	55	55	16	64	1	0	1	2	4
squeezenet0conv3fwd	LayerType.STANDARD	55	55	16	64	3	1	1	2	4
squeezenet0concat0	LayerType.CONCAT	55	55	64	128	1	0	1	4	8
squeezenet0conv4fwd	LayerType.STANDARD	55	55	128	16	1	0	1	8	4
squeezenet0conv5fwd	LayerType.STANDARD	55	55	16	64	1	0	1	4	2
squeezenet0conv6fwd	LayerType.STANDARD	55	55	16	64	3	1	1	4	2
squeezenet0concat1	LayerType.CONCAT	55	55	64	128	1	0	1	2	4
squeezenet0pool1fwd	LayerType.POOLING	27	27	128	128	3	0	2	4	4
squeezenet0conv7fwd	LayerType.STANDARD	27	27	128	32	1	0	1	4	4
squeezenet0conv8fwd	LayerType.STANDARD	27	27	32	128	1	0	1	4	2
squeezenet0conv9fwd	LayerType.STANDARD	27	27	32	128	3	1	1	4	2
squeezenet0concat2	LayerType.CONCAT	27	27	128	256	1	0	1	2	4
squeezenet0conv10fwd	LayerType.STANDARD	27	27	256	32	1	0	1	4	4
squeezenet0conv11fwd	LayerType.STANDARD	27	27	32	128	1	0	1	4	2
squeezenet0conv12fwd	LayerType.STANDARD	27	27	32	128	3	1	1	4	2
squeezenet0concat3	LayerType.CONCAT	27	27	128	256	1	0	1	2	4
squeezenet0pool2fwd	LayerType.POOLING	13	13	256	256	3	0	2	4	4
squeezenet0conv13fwd	LayerType.STANDARD	13	13	256	48	1	0	1	4	2
squeezenet0conv14fwd	LayerType.STANDARD	13	13	48	192	1	0	1	2	2
squeezenet0conv15fwd	LayerType.STANDARD	13	13	48	192	3	1	1	2	2
squeezenet0concat4	LayerType.CONCAT	13	13	192	384	1	0	1	2	4
squeezenet0conv16fwd	LayerType.STANDARD	13	13	384	48	1	0	1	4	2
squeezenet0conv17fwd	LayerType.STANDARD	13	13	48	192	1	0	1	2	2
squeezenet0conv18fwd	LayerType.STANDARD	13	13	48	192	3	1	1	2	2
squeezenet0concat5	LayerType.CONCAT	13	13	192	384	1	0	1	2	4
squeezenet0conv19fwd	LayerType.STANDARD	13	13	384	64	1	0	1	4	4
squeezenet0conv20fwd	LayerType.STANDARD	13	13	64	256	1	0	1	4	2
squeezenet0conv21fwd	LayerType.STANDARD	13	13	64	256	3	1	1	4	2
squeezenet0concat6	LayerType.CONCAT	13	13	256	512	1	0	1	2	4
squeezenet0conv22fwd	LayerType.STANDARD	13	13	512	64	1	0	1	4	4
squeezenet0conv23fwd	LayerType.STANDARD	13	13	64	256	1	0	1	4	2
squeezenet0conv24fwd	LayerType.STANDARD	13	13	64	256	3	1	1	4	2
squeezenet0concat7	LayerType.CONCAT	13	13	256	512	1	0	1	2	4
squeezenet0conv25fwd	LayerType.STANDARD	13	13	512	1,000	1	0	1	4	32
