name,type,H,W,C,F,K,P,S,P_C,P_F,residual
conv0,LayerType.STANDARD,112,112,3,32,3,1,2,1,1,
conv1,LayerType.DEPTHWISE_SEPARABLE,112,112,32,64,3,1,1,1,1,
conv2,LayerType.DEPTHWISE_SEPARABLE,56,56,64,128,3,1,2,1,1,
conv3,LayerType.DEPTHWISE_SEPARABLE,56,56,128,128,3,1,1,1,1,
conv4,LayerType.DEPTHWISE_SEPARABLE,28,28,128,256,3,1,2,1,1,
conv5,LayerType.DEPTHWISE_SEPARABLE,28,28,256,256,3,1,1,1,1,
conv6,LayerType.DEPTHWISE_SEPARABLE,14,14,256,512,3,1,2,1,1,
conv7,LayerType.DEPTHWISE_SEPARABLE,14,14,512,512,3,1,1,1,1,
conv8,LayerType.DEPTHWISE_SEPARABLE,14,14,512,512,3,1,1,1,1,
conv9,LayerType.DEPTHWISE_SEPARABLE,14,14,512,512,3,1,1,1,1,
conv10,LayerType.DEPTHWISE_SEPARABLE,14,14,512,512,3,1,1,1,1,
conv11,LayerType.DEPTHWISE_SEPARABLE,14,14,512,512,3,1,1,1,1,
conv12,LayerType.DEPTHWISE_SEPARABLE,7,7,512,1024,3,1,2,1,1,
conv13,LayerType.DEPTHWISE_SEPARABLE,7,7,1024,1024,3,1,1,1,1,
