name,type,H,W,C,F,K,P,S,P_C,P_F,residual
resnetv15conv0fwd,LayerType.STANDARD,112,112,3,64,7,3,2,1,1,
resnetv15pool0fwd,LayerType.POOLING,56,56,64,64,3,1,2,1,1,
resnetv15stage1conv0fwd,LayerType.STANDARD,56,56,64,64,3,1,1,1,1,
resnetv15stage1conv1fwd,LayerType.STANDARD,56,56,64,64,3,1,1,1,1,resnetv15stage1conv0fwd_1
resnetv15stage1conv2fwd,LayerType.STANDARD,56,56,64,64,3,1,1,1,1,
resnetv15stage1conv3fwd,LayerType.STANDARD,56,56,64,64,3,1,1,1,1,resnetv15stage1conv2fwd_1
resnetv15stage2conv0fwd,LayerType.STANDARD,28,28,64,128,3,1,2,1,2,
resnetv15stage2conv1fwd,LayerType.STANDARD,28,28,128,128,3,1,1,2,1,resnetv15stage2conv0fwd_1
resnetv15stage2conv3fwd,LayerType.STANDARD,28,28,128,128,3,1,1,1,1,
resnetv15stage2conv4fwd,LayerType.STANDARD,28,28,128,128,3,1,1,1,1,resnetv15stage2conv3fwd_1
resnetv15stage3conv0fwd,LayerType.STANDARD,14,14,128,256,3,1,2,1,2,
resnetv15stage3conv1fwd,LayerType.STANDARD,14,14,256,256,3,1,1,2,1,resnetv15stage3conv0fwd_1
resnetv15stage3conv3fwd,LayerType.STANDARD,14,14,256,256,3,1,1,1,1,
resnetv15stage3conv4fwd,LayerType.STANDARD,14,14,256,256,3,1,1,1,1,resnetv15stage3conv3fwd_1
resnetv15stage4conv0fwd,LayerType.STANDARD,7,7,256,512,3,1,2,1,2,
resnetv15stage4conv1fwd,LayerType.STANDARD,7,7,512,512,3,1,1,2,1,resnetv15stage4conv0fwd_1
resnetv15stage4conv3fwd,LayerType.STANDARD,7,7,512,512,3,1,1,1,1,
resnetv15stage4conv4fwd,LayerType.STANDARD,7,7,512,512,3,1,1,1,1,resnetv15stage4conv3fwd_1
