bitWidth,PF,PK,PC,LUT,FF,BRAM,DSP
32,1,1,1,479,429,0,18
32,1,1,2,990,891,0,36
32,1,2,1,958,858,0,36
32,1,2,2,1980,1782,0,72
32,2,1,1,958,858,0,36
32,2,1,2,1980,1782,0,72
32,2,2,1,1916,1716,0,72
32,2,2,2,3960,3564,0,144
16,1,1,1,244,221,0,9
16,1,1,2,504,459,0,18
16,1,2,1,488,442,0,18
16,1,2,2,1008,918,0,36
16,2,1,1,488,442,0,18
16,2,1,2,1008,918,0,36
16,2,2,1,976,884,0,36
16,2,2,2,2016,1836,0,72
8,1,1,1,122,117,0,9
8,1,1,2,252,243,0,18
8,1,2,1,244,234,0,18
8,1,2,2,504,486,0,36
8,2,1,1,244,234,0,18
8,2,1,2,504,486,0,36
8,2,2,1,488,468,0,36
8,2,2,2,1008,972,0,72
4,1,1,1,52,65,0,9
4,1,1,2,108,135,0,18
4,1,2,1,104,130,0,18
4,1,2,2,216,270,0,36
4,2,1,1,104,130,0,18
4,2,1,2,216,270,0,36
4,2,2,1,208,260,0,36
4,2,2,2,432,540,0,72
2,1,1,1,26,39,0,9
2,1,1,2,54,81,0,18
2,1,2,1,52,78,0,18
2,1,2,2,108,162,0,36
2,2,1,1,52,78,0,18
2,2,1,2,108,162,0,36
2,2,2,1,104,156,0,36
2,2,2,2,216,325,0,72
