bit_width,vec_size,LUT,FF,BRAM,DSP
32,9,479,429,0,18
32,16,912,825,0,32
32,25,1391,1254,0,50
32,36,2012,1815,0,72
32,49,2743,2475,0,98
32,64,3584,3234,0,128
32,81,4439,3993,0,162
32,100,5596,5049,0,200
32,121,6735,6072,0,242
16,9,76,70,0,5
16,16,128,123,0,8
16,25,204,193,0,13
16,36,244,230,0,18
16,49,388,369,0,25
16,64,464,441,0,32
16,81,596,564,0,41
16,100,708,671,0,50
16,121,908,863,0,61
8,9,38,38,0,5
8,16,64,67,0,8
8,25,102,105,0,13
8,36,122,126,0,18
8,49,194,201,0,25
8,64,232,241,0,32
8,81,298,308,0,41
8,100,354,367,0,50
8,121,454,471,0,61
4,9,16,22,0,5
4,16,28,39,0,8
4,25,44,61,0,13
4,36,52,74,0,18
4,49,84,117,0,25
4,64,100,141,0,32
4,81,128,180,0,41
4,100,152,215,0,50
4,121,196,275,0,61
